3,1,1135.32,155.52,105.03,168.82,1,-1,-1,-1
3,2,747.44,151.93,202.11,222.07,1,-1,-1,-1
3,3,294.47,151.11,153.95,126.86,1,-1,-1,-1
4,1,1144.24,149.23,107.65,173.37,1,-1,-1,-1
4,2,752.76,146.73,206.71,227.27,1,-1,-1,-1
4,3,293.27,145.58,151.62,124.91,1,-1,-1,-1
5,1,1155.30,147.65,108.81,175.98,1,-1,-1,-1
5,2,757.97,141.65,211.17,232.35,1,-1,-1,-1
5,3,292.53,144.00,149.36,123.01,1,-1,-1,-1
6,1,1164.68,143.28,111.43,180.22,1,-1,-1,-1
6,2,761.82,140.04,212.53,233.96,1,-1,-1,-1
6,3,291.92,143.63,147.17,121.15,1,-1,-1,-1
7,2,764.98,140.04,212.48,233.96,1,-1,-1,-1
7,3,291.08,142.91,145.06,119.37,1,-1,-1,-1
8,2,767.73,141.00,211.62,233.00,1,-1,-1,-1
8,3,290.13,142.96,143.03,117.65,1,-1,-1,-1
8,4,386.51,161.51,85.48,42.77,1,-1,-1,-1
9,2,770.19,142.60,210.23,231.40,1,-1,-1,-1
9,3,289.13,143.97,141.06,115.98,1,-1,-1,-1
9,4,394.80,164.24,85.88,42.97,1,-1,-1,-1
10,2,772.43,144.63,208.50,229.37,1,-1,-1,-1
10,3,288.09,144.78,139.14,114.35,1,-1,-1,-1
10,4,402.95,166.94,86.28,43.17,1,-1,-1,-1
11,2,773.41,146.26,207.11,227.74,1,-1,-1,-1
11,3,287.05,147.02,137.27,112.77,1,-1,-1,-1
11,4,411.12,169.64,86.68,43.38,1,-1,-1,-1
12,2,773.53,147.61,205.94,226.39,1,-1,-1,-1
12,3,286.07,148.87,135.50,111.26,1,-1,-1,-1
12,4,418.71,171.11,87.14,43.61,1,-1,-1,-1
13,2,773.03,148.77,204.93,225.23,1,-1,-1,-1
13,3,285.12,150.43,133.81,109.82,1,-1,-1,-1
13,4,426.04,171.91,87.64,43.86,1,-1,-1,-1
14,2,772.07,149.78,204.03,224.22,1,-1,-1,-1
14,3,284.22,151.79,132.19,108.43,1,-1,-1,-1
14,4,433.24,172.30,88.16,44.12,1,-1,-1,-1
15,2,770.78,150.69,203.21,223.31,1,-1,-1,-1
15,3,283.34,152.98,130.62,107.09,1,-1,-1,-1
15,4,440.38,172.41,88.69,44.40,1,-1,-1,-1
16,2,768.80,152.27,201.79,221.73,1,-1,-1,-1
16,3,282.49,154.03,129.11,105.78,1,-1,-1,-1
16,4,447.49,172.32,89.25,44.68,1,-1,-1,-1
17,2,766.27,154.39,199.92,219.61,1,-1,-1,-1
17,3,281.67,153.77,127.65,104.54,1,-1,-1,-1
17,4,454.65,172.30,89.81,44.96,1,-1,-1,-1
18,2,763.32,156.94,197.70,217.06,1,-1,-1,-1
18,3,280.90,154.42,126.26,103.36,1,-1,-1,-1
18,4,461.88,172.34,90.38,45.25,1,-1,-1,-1
19,2,759.80,159.80,195.20,214.20,1,-1,-1,-1
19,3,280.46,156.11,124.89,102.21,1,-1,-1,-1
19,4,469.17,173.15,90.97,45.55,1,-1,-1,-1
